‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       103	-0.00242366	-0.00628909	-0.01047664	-0.00113519	
       104	-0.01240936	-0.01208724	-0.01079876	0.00144177	
       105	-0.01176512	-0.01724115	-0.00661121	0.00337448	
       106	-0.00822181	-0.02915956	-0.00145731	0.00305236	
       107	-0.00467850	-0.03463559	0.00047541	-0.00081307	
       108	0.00208601	-0.03270287	0.00079753	-0.00016883	
       109	0.00691779	-0.02336141	0.00691779	0.00176389	
       110	0.01174958	-0.00757757	0.00885051	0.00659567	
       111	0.00595144	0.01368230	0.00981687	0.00337448	
       112	-0.00757757	0.05394721	0.01174958	0.00627356	
       114	-0.01208724	0.03816336	0.01110534	0.00273024	
       114	-0.00854393	0.01464866	0.00659567	-0.00081307	
       115	-0.00596698	-0.00306790	0.00562932	0.00015329	
       116	-0.00467850	-0.00435638	0.00047541	-0.00113519	
       117	0.00305236	-0.01112088	-0.00242366	-0.00049095	
       118	-0.00049095	-0.01724115	-0.00403426	-0.00016883	
       119	-0.01240936	0.00176389	-0.00628909	-0.00403426	
       120	-0.00822181	0.01658137	-0.01208724	-0.00049095	
       122	-0.01208724	0.01464866	-0.01015453	-0.00564486	
       122	-0.00371214	-0.00500062	-0.01112088	-0.00403426	
       123	0.00047541	-0.01208724	-0.00951029	-0.00467850	
       124	0.00273024	-0.02722684	-0.00951029	-0.00145731	
       125	0.00369660	-0.03463559	-0.00500062	-0.00403426	
       126	0.00305236	-0.02207294	-0.00306790	-0.00049095	
       128	-0.00049095	0.02882190	0.00144177	0.00176389	
       129	0.01142746	0.03945184	0.00466296	-0.00049095	
       130	0.02688919	0.00756203	0.00756203	-0.00113519	
       131	0.02431223	-0.00306790	0.00820627	0.00208601	
       132	0.01464866	-0.00596698	0.01174958	0.00176389	
       133	0.02817766	-0.02303929	0.01078323	-0.00177943	
       134	0.02785555	-0.01885174	0.00885051	-0.00049095	
       135	0.02237952	-0.01466419	0.00627356	0.00111965	
       136	-0.00177943	0.00981687	0.00595144	-0.00210154	
       137	-0.00886605	0.01239382	0.00144177	-0.00210154	
       138	-0.02336141	0.00240812	-0.00210154	-0.00371214	
